id,card_title,card_type,is_unique,sphere,threat,cost,willpower,attack,defense,hitpoints,traits,keywords,cycle_name,set_name,set_number,quantity_owned,related_card_ids,img_id,card_url,img_url
21,Common Cause,Event,FALSE,Leadership,,0,,,,,,,Core Set,Core Set,21,3,,01021,https://www.ringsdb.com/card/01021,https://www.ringsdb.com/bundles/cards/01021.png
22,For Gondor!,Event,FALSE,Leadership,,2,,,,,,,Core Set,Core Set,22,3,,01022,https://www.ringsdb.com/card/01022,https://www.ringsdb.com/bundles/cards/01022.png
23,Sneak Attack,Event,FALSE,Leadership,,1,,,,,,,Core Set,Core Set,23,3,,01023,https://www.ringsdb.com/card/01023,https://www.ringsdb.com/bundles/cards/01023.png
24,Valiant Sacrifice,Event,FALSE,Leadership,,1,,,,,,,Core Set,Core Set,24,3,,01024,https://www.ringsdb.com/card/01024,https://www.ringsdb.com/bundles/cards/01024.png
25,Grim Resolve,Event,FALSE,Leadership,,5,,,,,,,Core Set,Core Set,25,3,,01025,https://www.ringsdb.com/card/01025,https://www.ringsdb.com/bundles/cards/01025.png
26,Steward of Gondor,Attachment,TRUE,Leadership,,2,,,,,Gondor. Title.,,Core Set,Core Set,26,3,,01026,https://www.ringsdb.com/card/01026,https://www.ringsdb.com/bundles/cards/01026.png
27,Celebrían's Stone,Attachment,TRUE,Leadership,,2,,,,,Artifact. Item.,Restricted.,Core Set,Core Set,27,3,,01027,https://www.ringsdb.com/card/01027,https://www.ringsdb.com/bundles/cards/01027.png
28,Veteran Axehand,Ally,FALSE,Tactics,,2,0,2,1,2,Dwarf. Warrior.,,Core Set,Core Set,28,3,,01028,https://www.ringsdb.com/card/01028,https://www.ringsdb.com/bundles/cards/01028.png
29,Gondorian Spearman,Ally,FALSE,Tactics,,2,0,1,1,1,Gondor. Warrior.,Sentinel.,Core Set,Core Set,29,3,,01029,https://www.ringsdb.com/card/01029,https://www.ringsdb.com/bundles/cards/01029.png
30,Horseback Archer,Ally,FALSE,Tactics,,3,0,2,1,2,Rohan. Archer.,Ranged.,Core Set,Core Set,30,3,,01030,https://www.ringsdb.com/card/01030,https://www.ringsdb.com/bundles/cards/01030.png
31,Beorn,Ally,TRUE,Tactics,,6,1,3,3,6,Beorning. Warrior.,,Core Set,Core Set,31,3,,01031,https://www.ringsdb.com/card/01031,https://www.ringsdb.com/bundles/cards/01031.png
32,Blade Mastery,Event,FALSE,Tactics,,1,,,,,,,Core Set,Core Set,32,3,,01032,https://www.ringsdb.com/card/01032,https://www.ringsdb.com/bundles/cards/01032.png
33,Rain of Arrows,Event,FALSE,Tactics,,1,,,,,,Ranged.,Core Set,Core Set,33,3,,01033,https://www.ringsdb.com/card/01033,https://www.ringsdb.com/bundles/cards/01033.png
34,Feint,Event,FALSE,Tactics,,1,,,,,,,Core Set,Core Set,34,3,,01034,https://www.ringsdb.com/card/01034,https://www.ringsdb.com/bundles/cards/01034.png
35,Quick Strike,Event,FALSE,Tactics,,1,,,,,,,Core Set,Core Set,35,3,,01035,https://www.ringsdb.com/card/01035,https://www.ringsdb.com/bundles/cards/01035.png
36,Thicket of Spears,Event,FALSE,Tactics,,3,,,,,,,Core Set,Core Set,36,3,,01036,https://www.ringsdb.com/card/01036,https://www.ringsdb.com/bundles/cards/01036.png
37,Swift Strike,Event,FALSE,Tactics,,2,,,,,,,Core Set,Core Set,37,3,,01037,https://www.ringsdb.com/card/01037,https://www.ringsdb.com/bundles/cards/01037.png
38,Stand Together,Event,FALSE,Tactics,,0,,,,,,,Core Set,Core Set,38,3,,01038,https://www.ringsdb.com/card/01038,https://www.ringsdb.com/bundles/cards/01038.png
39,Blade of Gondolin,Attachment,FALSE,Tactics,,1,,,,,Item. Weapon.,Restricted.,Core Set,Core Set,39,3,,01039,https://www.ringsdb.com/card/01039,https://www.ringsdb.com/bundles/cards/01039.png
40,Citadel Plate,Attachment,FALSE,Tactics,,4,,,,,Item. Armor.,Restricted.,Core Set,Core Set,40,3,,01040,https://www.ringsdb.com/card/01040,https://www.ringsdb.com/bundles/cards/01040.png
41,Dwarven Axe,Attachment,FALSE,Tactics,,2,,,,,Item. Weapon.,Restricted.,Core Set,Core Set,41,3,,01041,https://www.ringsdb.com/card/01041,https://www.ringsdb.com/bundles/cards/01041.png
42,Horn of Gondor,Attachment,TRUE,Tactics,,1,,,,,Item. Artifact.,Restricted.,Core Set,Core Set,42,3,,01042,https://www.ringsdb.com/card/01042,https://www.ringsdb.com/bundles/cards/01042.png
43,Wandering Took,Ally,FALSE,Spirit,,2,1,1,1,2,Hobbit.,,Core Set,Core Set,43,3,,01043,https://www.ringsdb.com/card/01043,https://www.ringsdb.com/bundles/cards/01043.png
44,Lórien Guide,Ally,FALSE,Spirit,,3,1,1,0,2,Silvan. Scout.,,Core Set,Core Set,44,3,,01044,https://www.ringsdb.com/card/01044,https://www.ringsdb.com/bundles/cards/01044.png
45,Northern Tracker,Ally,FALSE,Spirit,,4,1,2,2,3,Dúnedain. Ranger.,,Core Set,Core Set,45,3,,01045,https://www.ringsdb.com/card/01045,https://www.ringsdb.com/bundles/cards/01045.png
46,The Galadhrim's Greeting,Event,FALSE,Spirit,,3,,,,,,,Core Set,Core Set,46,3,,01046,https://www.ringsdb.com/card/01046,https://www.ringsdb.com/bundles/cards/01046.png
47,Strength of Will,Event,FALSE,Spirit,,0,,,,,,,Core Set,Core Set,47,3,,01047,https://www.ringsdb.com/card/01047,https://www.ringsdb.com/bundles/cards/01047.png
48,Hasty Stroke,Event,FALSE,Spirit,,1,,,,,,,Core Set,Core Set,48,3,,01048,https://www.ringsdb.com/card/01048,https://www.ringsdb.com/bundles/cards/01048.png
49,Will of the West,Event,FALSE,Spirit,,1,,,,,,,Core Set,Core Set,49,3,,01049,https://www.ringsdb.com/card/01049,https://www.ringsdb.com/bundles/cards/01049.png
50,A Test of Will,Event,FALSE,Spirit,,1,,,,,,,Core Set,Core Set,50,3,,01050,https://www.ringsdb.com/card/01050,https://www.ringsdb.com/bundles/cards/01050.png
51,Stand and Fight,Event,FALSE,Spirit,,X,,,,,,,Core Set,Core Set,51,3,,01051,https://www.ringsdb.com/card/01051,https://www.ringsdb.com/bundles/cards/01051.png
52,A Light in the Dark,Event,FALSE,Spirit,,2,,,,,,,Core Set,Core Set,52,3,,01052,https://www.ringsdb.com/card/01052,https://www.ringsdb.com/bundles/cards/01052.png
53,Dwarven Tomb,Event,FALSE,Spirit,,1,,,,,,,Core Set,Core Set,53,3,,01053,https://www.ringsdb.com/card/01053,https://www.ringsdb.com/bundles/cards/01053.png
54,Fortune or Fate,Event,FALSE,Spirit,,5,,,,,,,Core Set,Core Set,54,3,,01054,https://www.ringsdb.com/card/01054,https://www.ringsdb.com/bundles/cards/01054.png
55,The Favor of the Lady,Attachment,FALSE,Spirit,,2,,,,,Condition.,,Core Set,Core Set,55,3,,01055,https://www.ringsdb.com/card/01055,https://www.ringsdb.com/bundles/cards/01055.png
56,Power in the Earth,Attachment,FALSE,Spirit,,1,,,,,Condition.,,Core Set,Core Set,56,3,,01056,https://www.ringsdb.com/card/01056,https://www.ringsdb.com/bundles/cards/01056.png
57,Unexpected Courage,Attachment,FALSE,Spirit,,2,,,,,Condition.,,Core Set,Core Set,57,3,,01057,https://www.ringsdb.com/card/01057,https://www.ringsdb.com/bundles/cards/01057.png
58,Daughter of the Nimrodel,Ally,FALSE,Lore,,3,1,0,0,1,Silvan.,,Core Set,Core Set,58,3,,01058,https://www.ringsdb.com/card/01058,https://www.ringsdb.com/bundles/cards/01058.png
59,Erebor Hammersmith,Ally,FALSE,Lore,,2,1,1,1,3,Dwarf. Craftsman.,,Core Set,Core Set,59,3,,01059,https://www.ringsdb.com/card/01059,https://www.ringsdb.com/bundles/cards/01059.png
60,Henamarth Riversong,Ally,TRUE,Lore,,1,1,1,0,1,Silvan.,,Core Set,Core Set,60,3,,01060,https://www.ringsdb.com/card/01060,https://www.ringsdb.com/bundles/cards/01060.png
61,Miner of the Iron Hills,Ally,FALSE,Lore,,2,0,1,1,2,Dwarf.,,Core Set,Core Set,61,3,,01061,https://www.ringsdb.com/card/01061,https://www.ringsdb.com/bundles/cards/01061.png
62,Gléowine,Ally,TRUE,Lore,,2,1,0,0,2,Minstrel. Rohan.,,Core Set,Core Set,62,3,,01062,https://www.ringsdb.com/card/01062,https://www.ringsdb.com/bundles/cards/01062.png
63,Lore of Imladris,Event,FALSE,Lore,,2,,,,,,,Core Set,Core Set,63,3,,01063,https://www.ringsdb.com/card/01063,https://www.ringsdb.com/bundles/cards/01063.png
64,Lórien's Wealth,Event,FALSE,Lore,,3,,,,,,,Core Set,Core Set,64,3,,01064,https://www.ringsdb.com/card/01064,https://www.ringsdb.com/bundles/cards/01064.png
65,Radagast's Cunning,Event,FALSE,Lore,,1,,,,,,,Core Set,Core Set,65,3,,01065,https://www.ringsdb.com/card/01065,https://www.ringsdb.com/bundles/cards/01065.png
66,Secret Paths,Event,FALSE,Lore,,1,,,,,,,Core Set,Core Set,66,3,,01066,https://www.ringsdb.com/card/01066,https://www.ringsdb.com/bundles/cards/01066.png
67,Gandalf's Search,Event,FALSE,Lore,,X,,,,,,,Core Set,Core Set,67,3,,01067,https://www.ringsdb.com/card/01067,https://www.ringsdb.com/bundles/cards/01067.png
68,Beorn's Hospitality,Event,FALSE,Lore,,5,,,,,,,Core Set,Core Set,68,3,,01068,https://www.ringsdb.com/card/01068,https://www.ringsdb.com/bundles/cards/01068.png
69,Forest Snare,Attachment,FALSE,Lore,,3,,,,,Item. Trap.,,Core Set,Core Set,69,3,,01069,https://www.ringsdb.com/card/01069,https://www.ringsdb.com/bundles/cards/01069.png
70,Protector of Lórien,Attachment,FALSE,Lore,,1,,,,,Title.,,Core Set,Core Set,70,3,,01070,https://www.ringsdb.com/card/01070,https://www.ringsdb.com/bundles/cards/01070.png
71,Dark Knowledge,Attachment,FALSE,Lore,,1,,,,,Condition.,,Core Set,Core Set,71,3,,01071,https://www.ringsdb.com/card/01071,https://www.ringsdb.com/bundles/cards/01071.png
72,Self Preservation,Attachment,FALSE,Lore,,3,,,,,Skill.,,Core Set,Core Set,72,3,,01072,https://www.ringsdb.com/card/01072,https://www.ringsdb.com/bundles/cards/01072.png
73,Gandalf,Ally,TRUE,Neutral,,5,4,4,4,4,Istari.,,Core Set,Core Set,73,12,,01073,https://www.ringsdb.com/card/01073,https://www.ringsdb.com/bundles/cards/01073.png
74,Bilbo Baggins,Hero,TRUE,Lore,9,,1,1,2,2,Hobbit.,,Shadows of Mirkwood,The Hunt for Gollum,1,1,,02001,https://www.ringsdb.com/card/02001,https://www.ringsdb.com/bundles/cards/02001.png
75,Dúnedain Mark,Attachment,FALSE,Leadership,,1,,,,,Signal.,,Shadows of Mirkwood,The Hunt for Gollum,2,3,,02002,https://www.ringsdb.com/card/02002,https://www.ringsdb.com/bundles/cards/02002.png
76,Campfire Tales,Event,FALSE,Leadership,,1,,,,,,,Shadows of Mirkwood,The Hunt for Gollum,3,3,,02003,https://www.ringsdb.com/card/02003,https://www.ringsdb.com/bundles/cards/02003.png
77,Winged Guardian,Ally,FALSE,Tactics,,2,0,0,4,1,Creature. Eagle.,Sentinel.,Shadows of Mirkwood,The Hunt for Gollum,4,3,,02004,https://www.ringsdb.com/card/02004,https://www.ringsdb.com/bundles/cards/02004.png
78,The Eagles Are Coming!,Event,FALSE,Tactics,,0,,,,,Eagle.,,Shadows of Mirkwood,The Hunt for Gollum,5,3,,02005,https://www.ringsdb.com/card/02005,https://www.ringsdb.com/bundles/cards/02005.png
79,Westfold Horse-breaker,Ally,FALSE,Spirit,,2,1,0,1,1,Rohan.,,Shadows of Mirkwood,The Hunt for Gollum,6,3,,02006,https://www.ringsdb.com/card/02006,https://www.ringsdb.com/bundles/cards/02006.png
80,Mustering the Rohirrim,Event,FALSE,Spirit,,1,,,,,,,Shadows of Mirkwood,The Hunt for Gollum,7,3,,02007,https://www.ringsdb.com/card/02007,https://www.ringsdb.com/bundles/cards/02007.png
81,Rivendell Minstrel,Ally,FALSE,Lore,,3,2,0,0,1,Noldor.,,Shadows of Mirkwood,The Hunt for Gollum,8,3,,02008,https://www.ringsdb.com/card/02008,https://www.ringsdb.com/bundles/cards/02008.png
82,Strider's Path,Event,FALSE,Lore,,1,,,,,,,Shadows of Mirkwood,The Hunt for Gollum,9,3,,02009,https://www.ringsdb.com/card/02009,https://www.ringsdb.com/bundles/cards/02009.png
83,Song of Kings,Attachment,FALSE,Neutral,,1,,,,,Song.,,Shadows of Mirkwood,The Hunt for Gollum,10,3,,02010,https://www.ringsdb.com/card/02010,https://www.ringsdb.com/bundles/cards/02010.png
84,Frodo Baggins,Hero,TRUE,Spirit,7,,2,1,2,2,Hobbit.,,Shadows of Mirkwood,Conflict at the Carrock,25,1,,02025,https://www.ringsdb.com/card/02025,https://www.ringsdb.com/bundles/cards/02025.png
85,Dúnedain Warning,Attachment,FALSE,Leadership,,1,,,,,Signal.,,Shadows of Mirkwood,Conflict at the Carrock,26,3,,02026,https://www.ringsdb.com/card/02026,https://www.ringsdb.com/bundles/cards/02026.png
86,Second Breakfast,Event,FALSE,Leadership,,1,,,,,,,Shadows of Mirkwood,Conflict at the Carrock,27,3,,02027,https://www.ringsdb.com/card/02027,https://www.ringsdb.com/bundles/cards/02027.png
87,Beorning Beekeeper,Ally,FALSE,Tactics,,4,1,2,1,3,Beorning.,,Shadows of Mirkwood,Conflict at the Carrock,28,3,,02028,https://www.ringsdb.com/card/02028,https://www.ringsdb.com/bundles/cards/02028.png
88,Born Aloft,Attachment,FALSE,Tactics,,0,,,,,Condition.,,Shadows of Mirkwood,Conflict at the Carrock,29,3,,02029,https://www.ringsdb.com/card/02029,https://www.ringsdb.com/bundles/cards/02029.png
89,Éomund,Ally,TRUE,Spirit,,3,2,1,1,2,Rohan.,,Shadows of Mirkwood,Conflict at the Carrock,30,3,,02030,https://www.ringsdb.com/card/02030,https://www.ringsdb.com/bundles/cards/02030.png
90,Nor am I a Stranger,Attachment,FALSE,Spirit,,1,,,,,Title.,,Shadows of Mirkwood,Conflict at the Carrock,31,3,,02031,https://www.ringsdb.com/card/02031,https://www.ringsdb.com/bundles/cards/02031.png
91,Longbeard Map-Maker,Ally,FALSE,Lore,,3,1,1,1,3,Dwarf.,,Shadows of Mirkwood,Conflict at the Carrock,32,3,,02032,https://www.ringsdb.com/card/02032,https://www.ringsdb.com/bundles/cards/02032.png
92,A Burning Brand,Attachment,FALSE,Lore,,2,,,,,Item.,Restricted.,Shadows of Mirkwood,Conflict at the Carrock,33,3,,02033,https://www.ringsdb.com/card/02033,https://www.ringsdb.com/bundles/cards/02033.png
93,Song of Wisdom,Attachment,FALSE,Neutral,,1,,,,,Song.,,Shadows of Mirkwood,Conflict at the Carrock,34,3,,02034,https://www.ringsdb.com/card/02034,https://www.ringsdb.com/bundles/cards/02034.png
94,Prince Imrahil,Hero,TRUE,Leadership,11,,2,3,2,4,Gondor. Noble.,,Shadows of Mirkwood,A Journey to Rhosgobel,50,1,,02050,https://www.ringsdb.com/card/02050,https://www.ringsdb.com/bundles/cards/02050.png
95,Dúnedain Quest,Attachment,FALSE,Leadership,,2,,,,,Signal.,,Shadows of Mirkwood,A Journey to Rhosgobel,51,3,,02051,https://www.ringsdb.com/card/02051,https://www.ringsdb.com/bundles/cards/02051.png
96,Parting Gifts,Event,FALSE,Leadership,,0,,,,,,,Shadows of Mirkwood,A Journey to Rhosgobel,52,3,,02052,https://www.ringsdb.com/card/02052,https://www.ringsdb.com/bundles/cards/02052.png
97,Landroval,Ally,TRUE,Tactics,,5,1,3,1,4,Creature. Eagle.,Sentinel.,Shadows of Mirkwood,A Journey to Rhosgobel,53,3,,02053,https://www.ringsdb.com/card/02053,https://www.ringsdb.com/bundles/cards/02053.png
98,To the Eyrie,Event,FALSE,Tactics,,2,,,,,,,Shadows of Mirkwood,A Journey to Rhosgobel,54,3,,02054,https://www.ringsdb.com/card/02054,https://www.ringsdb.com/bundles/cards/02054.png
99,Escort from Edoras,Ally,FALSE,Spirit,,2,2,0,0,1,Rohan.,,Shadows of Mirkwood,A Journey to Rhosgobel,55,3,,02055,https://www.ringsdb.com/card/02055,https://www.ringsdb.com/bundles/cards/02055.png
100,Ancient Mathom,Attachment,FALSE,Spirit,,1,,,,,Mathom.,,Shadows of Mirkwood,A Journey to Rhosgobel,56,3,,02056,https://www.ringsdb.com/card/02056,https://www.ringsdb.com/bundles/cards/02056.png
101,Haldir of Lórien,Ally,TRUE,Lore,,4,2,2,2,3,Silvan.,Ranged. Sentinel.,Shadows of Mirkwood,A Journey to Rhosgobel,57,3,,02057,https://www.ringsdb.com/card/02057,https://www.ringsdb.com/bundles/cards/02057.png
102,Infighting,Event,FALSE,Lore,,1,,,,,,,Shadows of Mirkwood,A Journey to Rhosgobel,58,3,,02058,https://www.ringsdb.com/card/02058,https://www.ringsdb.com/bundles/cards/02058.png
103,Radagast,Ally,TRUE,Neutral,,5,2,1,1,3,Istari.,,Shadows of Mirkwood,A Journey to Rhosgobel,59,3,,02059,https://www.ringsdb.com/card/02059,https://www.ringsdb.com/bundles/cards/02059.png
104,Brand son of Bain,Hero,TRUE,Tactics,10,,2,3,2,3,Dale.,Ranged.,Shadows of Mirkwood,The Hills of Emyn Muil,72,1,,02072,https://www.ringsdb.com/card/02072,https://www.ringsdb.com/bundles/cards/02072.png
105,Keen-eyed Took,Ally,FALSE,Leadership,,2,1,0,0,2,Hobbit.,,Shadows of Mirkwood,The Hills of Emyn Muil,73,3,,02073,https://www.ringsdb.com/card/02073,https://www.ringsdb.com/bundles/cards/02073.png
106,Rear Guard,Event,FALSE,Leadership,,1,,,,,,,Shadows of Mirkwood,The Hills of Emyn Muil,74,3,,02074,https://www.ringsdb.com/card/02074,https://www.ringsdb.com/bundles/cards/02074.png
107,Descendant of Thorondor,Ally,FALSE,Tactics,,4,1,2,1,2,Creature. Eagle.,,Shadows of Mirkwood,The Hills of Emyn Muil,75,3,,02075,https://www.ringsdb.com/card/02075,https://www.ringsdb.com/bundles/cards/02075.png
108,Meneldor's Flight,Event,FALSE,Tactics,,0,,,,,,,Shadows of Mirkwood,The Hills of Emyn Muil,76,3,,02076,https://www.ringsdb.com/card/02076,https://www.ringsdb.com/bundles/cards/02076.png
109,The Riddermark's Finest,Ally,FALSE,Spirit,,2,1,1,0,2,Creature. Rohan.,,Shadows of Mirkwood,The Hills of Emyn Muil,77,3,,02077,https://www.ringsdb.com/card/02077,https://www.ringsdb.com/bundles/cards/02077.png
110,Ride to Ruin,Event,FALSE,Spirit,,1,,,,,,,Shadows of Mirkwood,The Hills of Emyn Muil,78,3,,02078,https://www.ringsdb.com/card/02078,https://www.ringsdb.com/bundles/cards/02078.png
111,Gildor Inglorion,Ally,TRUE,Lore,,5,3,2,3,3,Noldor.,,Shadows of Mirkwood,The Hills of Emyn Muil,79,3,,02079,https://www.ringsdb.com/card/02079,https://www.ringsdb.com/bundles/cards/02079.png
112,Gildor's Counsel,Event,FALSE,Lore,,3,,,,,,,Shadows of Mirkwood,The Hills of Emyn Muil,80,3,,02080,https://www.ringsdb.com/card/02080,https://www.ringsdb.com/bundles/cards/02080.png
113,Song of Travel,Attachment,FALSE,Neutral,,1,,,,,Song.,,Shadows of Mirkwood,The Hills of Emyn Muil,81,3,,02081,https://www.ringsdb.com/card/02081,https://www.ringsdb.com/bundles/cards/02081.png
114,Boromir,Hero,TRUE,Tactics,11,,1,3,2,5,Gondor. Noble. Warrior.,,Shadows of Mirkwood,The Dead Marshes,95,1,,02095,https://www.ringsdb.com/card/02095,https://www.ringsdb.com/bundles/cards/02095.png
115,Dúnedain Watcher,Ally,FALSE,Leadership,,3,1,1,1,2,Dúnedain.,,Shadows of Mirkwood,The Dead Marshes,96,3,,02096,https://www.ringsdb.com/card/02096,https://www.ringsdb.com/bundles/cards/02096.png
116,Dúnedain Cache,Attachment,FALSE,Leadership,,2,,,,,Item.,Ranged.,Shadows of Mirkwood,The Dead Marshes,97,3,,02097,https://www.ringsdb.com/card/02097,https://www.ringsdb.com/bundles/cards/02097.png
117,Vassal of the Windlord,Ally,FALSE,Tactics,,1,0,3,0,1,Creature. Eagle.,Ranged.,Shadows of Mirkwood,The Dead Marshes,98,3,,02098,https://www.ringsdb.com/card/02098,https://www.ringsdb.com/bundles/cards/02098.png
118,Song of Mocking,Attachment,FALSE,Tactics,,1,,,,,Song.,,Shadows of Mirkwood,The Dead Marshes,99,3,,02099,https://www.ringsdb.com/card/02099,https://www.ringsdb.com/bundles/cards/02099.png
119,Elfhelm,Ally,TRUE,Spirit,,4,1,2,2,3,Rohan. Warrior.,,Shadows of Mirkwood,The Dead Marshes,100,3,,02100,https://www.ringsdb.com/card/02100,https://www.ringsdb.com/bundles/cards/02100.png
120,We Do Not Sleep,Event,FALSE,Spirit,,5,,,,,,,Shadows of Mirkwood,The Dead Marshes,101,3,,02101,https://www.ringsdb.com/card/02101,https://www.ringsdb.com/bundles/cards/02101.png
121,Silvan Tracker,Ally,FALSE,Lore,,3,1,1,1,3,Silvan.,,Shadows of Mirkwood,The Dead Marshes,102,3,,02102,https://www.ringsdb.com/card/02102,https://www.ringsdb.com/bundles/cards/02102.png
122,Fast Hitch,Attachment,FALSE,Lore,,1,,,,,Skill.,,Shadows of Mirkwood,The Dead Marshes,103,3,,02103,https://www.ringsdb.com/card/02103,https://www.ringsdb.com/bundles/cards/02103.png
123,Song of Battle,Attachment,FALSE,Neutral,,1,,,,,Song.,,Shadows of Mirkwood,The Dead Marshes,104,3,,02104,https://www.ringsdb.com/card/02104,https://www.ringsdb.com/bundles/cards/02104.png
124,Dáin Ironfoot,Hero,TRUE,Leadership,11,,1,2,3,5,Dwarf. Noble.,,Shadows of Mirkwood,Return to Mirkwood,116,1,,02116,https://www.ringsdb.com/card/02116,https://www.ringsdb.com/bundles/cards/02116.png
125,Dúnedain Signal,Attachment,FALSE,Leadership,,1,,,,,Signal.,Sentinel.,Shadows of Mirkwood,Return to Mirkwood,117,3,,02117,https://www.ringsdb.com/card/02117,https://www.ringsdb.com/bundles/cards/02117.png
126,Dawn Take You All,Event,FALSE,Leadership,,2,,,,,,,Shadows of Mirkwood,Return to Mirkwood,118,3,,02118,https://www.ringsdb.com/card/02118,https://www.ringsdb.com/bundles/cards/02118.png
127,Eagles of the Misty Mountains,Ally,FALSE,Tactics,,4,2,2,2,4,Creature. Eagle.,,Shadows of Mirkwood,Return to Mirkwood,119,3,,02119,https://www.ringsdb.com/card/02119,https://www.ringsdb.com/bundles/cards/02119.png
128,Support of the Eagles,Attachment,FALSE,Tactics,,3,,,,,Boon.,,Shadows of Mirkwood,Return to Mirkwood,120,3,,02120,https://www.ringsdb.com/card/02120,https://www.ringsdb.com/bundles/cards/02120.png
129,West Road Traveller,Ally,FALSE,Spirit,,2,2,0,0,1,Rohan.,,Shadows of Mirkwood,Return to Mirkwood,121,3,,02121,https://www.ringsdb.com/card/02121,https://www.ringsdb.com/bundles/cards/02121.png
130,Astonishing Speed,Event,FALSE,Spirit,,3,,,,,,,Shadows of Mirkwood,Return to Mirkwood,122,3,,02122,https://www.ringsdb.com/card/02122,https://www.ringsdb.com/bundles/cards/02122.png
